,PARK,name,place_id,rating,user_ratings_total,num_results,address,exists on ChicagoPark District?,other notes
48,HOLLYWOOD,West Thorndale Avenue,ChIJVXljsB3OD4gR28EAToDl114,0.0,0.0,0.0,,,
49,ATHLETIC FIELD,Athletic Field Park,ChIJMx-a45fND4gRvBK6beREczc,4.5,118.0,1.0,,,
50,AVONDALE,Avondale Neighborhood Park,ChIJjcWgKp_ND4gRlli-_3KcyN4,4.4,78.0,1.0,,,
51,JENSEN (CHRIST),Jensen (Daniel) Park,ChIJF50rQcPND4gRGlWtju-GMY4,4.2,81.0,1.0,,,
52,INDEPENDENCE,Independence Park,ChIJfbxUbLnND4gR64SWNrL1ay4,4.6,666.0,0.0,,,
53,KILBOURN,Kilbourn Park,ChIJyeyqBVPMD4gRf8DglpgdKnY,4.4,337.0,1.0,,,
54,KOLMAR,Gertrud Kolmar Park,ChIJx4EbBErMD4gRxg1g8fQlBTQ,4.5,49.0,1.0,,,
55,MAYFAIR,Mayfair Park,ChIJBYy4XzHMD4gRd5heTBg0XYo,4.6,176.0,1.0,,,
56,NORTH MAYFAIR,North Mayfair Park,ChIJLTUnYSnMD4gRcRjrKvw0i3E,0.0,0.0,0.0,,,
57,ROSEDALE,Rosedale Park,ChIJpyJqjE_JD4gRrYhN5UOs-KY,4.6,90.0,1.0,,,
58,GLADSTONE (WILLIAM),Gladstone (William) Park,ChIJY1COR6rOD4gR3xKPnvVcBhY,4.5,101.0,1.0,,,
59,HURLEY (TIMOTHY),Hurley Park,ChIJzwEbjxElDogRzqwe5mQYrUw,0.0,0.0,2.0,,,
60,JEFFERSON (THOMAS) MEML.,Jefferson (Thomas) Memorial Park,ChIJBfXOYRrMD4gRUA0c-rGN-0A,4.4,325.0,1.0,,,
61,ROBERTS (DANIEL) SQUARE,Roberts (David) Square Park,ChIJEbBd1BjMD4gRdskHSZMB0kQ,4.6,138.0,1.0,,,
62,LINCOLN (ABRAHAM),Lincoln Park,ChIJM07VSb_TD4gRGfVxaUzpovo,4.7,19746.0,1.0,,,
63,CHASE (SALMON),Chase Park,ChIJ41HHfiXSD4gRuk7VPrGfx_0,4.5,402.0,1.0,,,
64,EMMERSON (LOUIS),Emmerson (Louis) Park,ChIJHwSbW5XRD4gRpvnCdjB2atg,4.4,105.0,1.0,,,
65,GOUDY (WILLIAM) SQUARE,Goudy (William) Square Playground Park,ChIJGXAymlrTD4gRa4uHp6YwCD0,4.7,107.0,1.0,,,
66,HAMLIN (HANNIBAL),Hamlin Park,ChIJhbpJ1WHSD4gRkqsImdZ1fZc,4.5,517.0,1.0,,,
67,LAKE SHORE,,ChIJQcAEflXTD4gRhbHDvLihMIg,4.5,576.0,0.0,808 N. Lake Shore Drive,https://www.chicagoparkdistrict.com/parks-facilities/lake-shore-park,
68,WILSON (FRANK),Wilson (Frank J.) Park,ChIJ538ETRbMD4gRlkaz6FEgEYU,4.6,200.0,0.0,,,
69,SEWARD (WILLIAM),Seward (William) Park,ChIJFXvJLjbTD4gRN_70x_IE43g,4.3,431.0,1.0,,,
70,STANTON (EDWIN),Stanton (Edwin) Park,ChIJu8vcfjrTD4gRYSrfd2aOB-4,4.4,189.0,1.0,,,
71,WELLES (GIDEON),Welles (Gideon) Park,ChIJa63DtxHSD4gRv-rlHDzJtoY,4.6,1126.0,1.0,,,
72,LOYOLA,Loyola Park,ChIJdXNg86nRD4gR1-hJ2H9Q2a4,4.6,1436.0,0.0,,,
73,DOUGLASS (ANNA & FREDERICK),Douglass (Anna & Frederick) Park,ChIJHTTdJoIyDogRNlRFL_f-pko,4.3,604.0,1.0,,,
74,"BELL (GEORGE,JR.)","Bell (George, Jr.) Park",ChIJSR5xLAvLD4gRyQMQvWqWkvM,4.3,284.0,1.0,,,
75,BLACKHAWK,Blackhawk Park,ChIJl0-fD-zMD4gR6Kk07QtsTBY,4.3,372.0,1.0,,,
76,RIIS (JACOB),Riis Park,ChIJKz4AeWbLD4gRRz0n6P8bN-0,4.5,624.0,1.0,,,
77,SIMONS (ALMIRA),Simons (Almira) Park,ChIJLbkOLkfND4gREWZWTcoTm-E,4.3,86.0,1.0,,,
78,HERMOSA,Hermosa Park,ChIJp1WYY-HMD4gRloFc7PKdnGA,4.3,159.0,1.0,,,
79,KELVYN (WILLIAM),Kelvyn (William) Park,ChIJdWOMdf3MD4gRneflD5bKVI8,4.3,478.0,1.0,,,
80,RUTHERFORD SAYRE,Rutherford Sayre Park,ChIJ5_0LPBXLD4gRNQdojw5Awwo,4.6,197.0,1.0,,,
81,MOZART (AMADEUS),Mozart (Amadeus) Park,ChIJqbhXOBbND4gR0Zg2NVZ4OuU,4.4,237.0,1.0,,,
