,name,place_id,rating,user_ratings_total,lat_g,lng_g
808,Touché,ChIJnwLkWrzRD4gREreJ-KlTEoU,3.9,87,41.9985703,-87.6709983
600,Chi Bar,ChIJI8hF76ksDogR7NdOBvYoTKQ,3.9,8,41.8892096,-87.6195619
735,The Dime,ChIJ37o6Q3TTD4gRwFa5IJJN3F0,3.9,185,41.9233543,-87.6455278
728,Emerald Isle,ChIJr8uFqKDJD4gRhiqKptya6LI,3.9,107,42.0024067,-87.8157868
153,Trader Todd's,ChIJG39EdazTD4gRF8wgReRZb4U,3.9,836,41.9404468,-87.65431249999999
352,Driftwood,ChIJy5CwXszTD4gR2nA4SFoL3YU,4,96,41.9616697,-87.65570489999999
403,Winners Sports Bar & Grill Inc.,ChIJ84w-W14zDogR3TiOYGeMMOo,4,39,41.88030029999999,-87.7724167
13,Twisted Cantina,ChIJ__-vAQEtDogRd83F6HhJHtI,4,280,41.8586752,-87.6606535
370,Sakura Karaoke Bar,ChIJEWd-1GMsDogR_8abGQLeCF4,4,509,41.8530678,-87.63310969999999
298,McGee's Tavern & Grille,ChIJYWHCihvTD4gR4GVwX4o-iCk,4,546,41.9218786,-87.6529197
471,Silvie's Lounge,ChIJS6uAQEDSD4gR4niEGQ_p9C8,4,110,41.9543776,-87.67649250000001
361,Second Story Bar,ChIJB7lSgKssDogRTmPNvcEbd8w,4,160,41.8924338,-87.623243
482,Carolyn's Lounge,ChIJNQD4WbvMD4gRmUDjCHV7LTc,4,211,41.9125671,-87.765973
891,Billy Goat Tavern (Navy Pier),ChIJj3c_ZFIrDogRUxeBbK4b2A0,4,1016,41.8913133,-87.6052302
492,Point & Feather,ChIJGYucZbEsDogRV32lT2JMlKg,4,369,41.8898752,-87.63180559999999
254,The Hangge-Uppe,ChIJpauTz0_TD4gRiHwAoPtRjaY,4,553,41.90329759999999,-87.62919769999999
332,The Windsor Tavern and Grill,ChIJvzCdHhbMD4gR376DHc_Jr-I,4,287,41.9632016,-87.7569116
328,Belmont Tap,ChIJSUC31IHLD4gRfpqoYaHxhR0,4,53,41.9383116,-87.7788041
524,Randolph Tavern,ChIJjcxm9rksDogRq-DGbt1Wtxo,4,1057,41.8846092,-87.6335593
14,LG's Bar & Kitchen,ChIJQ8gKsUbTD4gRFil3hdrc_mM,4,363,41.90983000000001,-87.6344981
186,Late Bar,ChIJA04tdJ_ND4gRuVY7wluCfOw,4,154,41.9393685,-87.7163716
560,Deadbolt,ChIJ7UlUFGPND4gRHD4zTvXPMto,4,144,41.9250451,-87.701055
557,W Chicago - City Center,ChIJYYPnG7wsDogR8KApuOJNQw4,4,1818,41.8795207,-87.6332144
622,Island Party Hut,ChIJcVbb1qksDogRUtChf6KmLXs,4,300,41.8880214,-87.6190513
547,Bristol Lounge,ChIJxV9nmaDND4gR5-JPV1Pkn-4,4,55,41.9371391,-87.7208309
913,Bubbles,ChIJJ_B5FTa0D4gRDI4bGJEdWYE,4,111,41.97535269999999,-87.9005435
162,Celeste,ChIJDwYuZbEsDogRyk4CxG12inc,4,1081,41.88989,-87.6316379
68,Silvana Bar,ChIJt1qBILTRD4gRxyyOKmJM8ok,4,22,42.009967,-87.67455799999999
147,JoJo's Shake Bar -River North,ChIJM7AX2DXTD4gRH2G2hdBDGlk,4,2838,41.889935,-87.6289846
316,Mr C's Midway Bar Inc,ChIJOTJ80wExDogRbyBs4WVOe0Y,4.1,211,41.7785932,-87.739583
300,Ja' Grill Hyde Park,ChIJ16pX1x7TD4gRQ43SjWpWmCs,4.1,1318,41.80049289999999,-87.58862429999999
107,Adamus Lounge,ChIJV8_1jKQsDogRr6dVwsdhC5g,4.1,95,41.8815905,-87.6263712
116,Madison Tavern,ChIJm_qTZ3UtDogRoCSuyTUMkmI,4.1,418,41.8823083,-87.6403843
364,Mother Hubbard's Sports Pub,ChIJZ6EtAq4sDogR1HFg0MbZe6g,4.1,1151,41.8899488,-87.628338
789,Jacqueline's,ChIJg3ZC3aTTD4gRAHkuqzitWog,4.1,154,41.9438429,-87.64527280000001
293,American Ale House,ChIJD5j-c9LPD4gRcyDvyNaedhg,4.1,79,42.0194402,-87.6891668
291,Casey's Corner,ChIJ5T0ZaSDOD4gR3gEtBHZCKWA,4.1,37,41.99747199999999,-87.6985681
398,Tunes & Taps,ChIJAQEWi6jLD4gR4T_tLJjkYRc,4.1,13,41.940525,-87.8071822
342,VU Rooftop Bar,ChIJHe76nSItDogR2XY6olDGPeI,4.1,1170,41.8526719,-87.6227639
124,Whiskey Business,ChIJKXHMk8XSD4gRJwbwxfytC5E,4.1,1002,41.9067467,-87.67156539999999
22,Eva's Sports Bar,ChIJZXzZrRDLD4gRMTm0RjHXuLQ,4.1,47,41.9236323,-87.8054487
435,O'Neil's on Wells,ChIJ_YiNCb4sDogRQlaMeRMQ8Xk,4.1,296,41.8764494,-87.6335063
614,Kitty O'Sheas,ChIJO2ZfH5ksDogR7-6u0OMCNgw,4.1,519,41.8719977,-87.6244854
136,The Fifty/50,ChIJf6JfKLbSD4gRK2J23lfqVNk,4.1,943,41.9029974,-87.6790626
910,Bodega Bar at The Berkshire Room,ChIJ182ima0sDogRc91kHfz-YkQ,4.1,63,41.8922551,-87.6274885
538,Jake's Pub,ChIJO8NA8afTD4gRvdJWxu5Droo,4.1,308,41.9356798,-87.6473796
525,Upstairs at The Gwen,ChIJk3rGOawsDogRn0NQTFp9m7w,4.1,273,41.891259,-87.62534319999999
721,The North End,ChIJHxp9tbDTD4gR4RiHw8bMOpE,4.1,62,41.9501815,-87.64944369999999
515,EL Plan,ChIJQXuM5BkuDogRwTKSqKXjRM0,4.1,38,41.8011975,-87.6880393
